"B0001,GoodNight Everyone,200",
"B0002,Zoo Animals,180",
"B0003,I love you PUPPY,120",
"B0004,My thomas Potty Book,220",
"B0005,Golden Sound Story,250",
"B0006,the night before Christmas (2 copy),200",
"B0007,I can Share,200",
"B0008,Daisy the dolphine,90",
"B0009,That's not my unicorn,200",
"B0010,Where's Spot?,220",
"B0011,Finger Rhymes,250",
"B0012,my 1st alphabet,50",
"B0013,shapes,90",
"B0014,big &Small,90",
"B0015,"row, row your boat",69",
"B0016,Pssst!,80",
"B0017,vivienne ,90",
"B0018,Numbers,60",
"B0019,shhh…julie Sykes tim warnes,90",
"B0020,tickle,80",
"B0021,I m just a baby stegosaur,69",
"B0022,maalla,30",
"B0023,shapes in the home,120",
"B0024,Gruffalo what can you,120",
"B0025,Dear Zoo,190",
"B0026,Hide &seek pig,220",
"B0027,swinging monkeys,120",
"B0028,Playtime,69",
"B0029,Bath time,69",
"B0030,Jack &the beanstalk,120",
"B0031,The 3 little pigs,200",
"B0032,big red the fire engine,50",
"B0033,Baby bears adventures,40",
"B0034,Harold To The Rescue,100",
"B0035,Little monsters book of numbers,100",
"B0036,Large Under the sea,180",
"B0037,Lets it some food,100",
"B0038,the 1st christmas,100",
"B0039,the very hungry caterpillar,120",
"B0040,Hide &seek pig,150",
"B0041,Bedtime rhymes,120",
"B0042,very busy spider,100",
"B0043,Jungle,70",
"B0044,Bear feels SAD,80",
"B0045,The snowman,120",
"B0046,little hourse,70",
"B0047,little miss sunshine,45",
"B0048,I can say sorry,45",
"B0049,spider sense,45",
"B0050,I can take turns,45",
"B0051,I can tidy up,45",
"B0052,animals,45",
"B0053,peppa pig set,80",
"B0054,little miss giggles,45",
"B0055,birds,45",
"B0056,colours,45",
"B0057,The Gruffalo,179",
